icd10	term
C752	Malignant neoplasm of craniopharyngeal duct
C753	Malignant neoplasm of pineal gland
C754	Malignant neoplasm of carotid body
C755	Malignant neoplasm of aortic body and other paraganglia
C758	Malignant neoplasm with pluriglandular involvement, unspecified
C759	Malignant neoplasm of endocrine gland, unspecified
C760	Malignant neoplasm of head, face and neck
C761	Malignant neoplasm of thorax
C762	Malignant neoplasm of abdomen
C763	Malignant neoplasm of pelvis
C764	Malignant neoplasm of unspecified upper limb
C764	Malignant neoplasm of right upper limb
C764	Malignant neoplasm of left upper limb
C765	Malignant neoplasm of right lower limb
C765	Malignant neoplasm of left lower limb
C765	Malignant neoplasm of unspecified lower limb
C767	Other ill-defined sites
C768	Malignant neoplasm of other specified ill-defined sites
C770	Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck
C771	Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
C772	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
C773	Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes
C774	Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes
C775	Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
C778	Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions
C779	Secondary and unspecified malignant neoplasm of lymph node, unspecified
C780	Secondary malignant neoplasm of left lung
C780	Secondary malignant neoplasm of unspecified lung
C780	Secondary malignant neoplasm of right lung
C781	Secondary malignant neoplasm of mediastinum
C782	Secondary malignant neoplasm of pleura
C783	Secondary malignant neoplasm of unspecified respiratory organ
C783	Secondary malignant neoplasm of other respiratory organs
C784	Secondary malignant neoplasm of small intestine
C785	Secondary malignant neoplasm of large intestine and rectum
C786	Secondary malignant neoplasm of retroperitoneum and peritoneum
C787	Secondary malignant neoplasm of liver and intrahepatic bile duct
C788	Secondary malignant neoplasm of unspecified digestive organ
C788	Secondary malignant neoplasm of other digestive organs
C790	Secondary malignant neoplasm of unspecified kidney and renal pelvis
C790	Secondary malignant neoplasm of left kidney and renal pelvis
C790	Secondary malignant neoplasm of right kidney and renal pelvis
C791	Secondary malignant neoplasm of other urinary organs
C791	Secondary malignant neoplasm of bladder
C791	Secondary malignant neoplasm of unspecified urinary organs
C792	Secondary malignant neoplasm of skin
C793	Secondary malignant neoplasm of brain
C793	Secondary malignant neoplasm of cerebral meninges
C794	Secondary malignant neoplasm of other parts of nervous system
C794	Secondary malignant neoplasm of unspecified part of nervous system
C795	Secondary malignant neoplasm of bone
C795	Secondary malignant neoplasm of bone marrow
C796	Secondary malignant neoplasm of unspecified ovary
C796	Secondary malignant neoplasm of left ovary
C796	Secondary malignant neoplasm of right ovary
C796	Secondary malignant neoplasm of bilateral ovaries
C797	Secondary malignant neoplasm of unspecified adrenal gland
C797	Secondary malignant neoplasm of left adrenal gland
C797	Secondary malignant neoplasm of right adrenal gland
C798	Secondary malignant neoplasm of breast
C798	Secondary malignant neoplasm of genital organs
C798	Secondary malignant neoplasm of other specified sites
C799	Secondary malignant neoplasm of unspecified site
C800	Disseminated malignant neoplasm, unspecified
C801	Malignant (primary) neoplasm, unspecified
C802	Malignant neoplasm associated with transplanted organ
C809	Malignant neoplasm, primary site unspecified
C810	Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site
C810	Nodular lymphocyte predominant Hodgkin lymphoma, spleen
C810	Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites
C810	Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck
C810	Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes
C810	Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes
C810	Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes
C810	Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
C810	Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites
C810	Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb
C811	Nodular sclerosis Hodgkin lymphoma, unspecified site
C811	Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites
C811	Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes
C811	Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites
C811	Nodular sclerosis Hodgkin lymphoma, intra-abdominal lymph nodes
C811	Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb
C811	Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
C811	Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck
C811	Nodular sclerosis Hodgkin lymphoma, spleen
C811	Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes
C812	Mixed cellularity Hodgkin lymphoma, extranodal and solid organ sites
C812	Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes
C812	Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes
C812	Mixed cellularity Hodgkin lymphoma, lymph nodes of multiple sites
C812	Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck
C812	Mixed cellularity Hodgkin lymphoma, lymph nodes of axilla and upper limb
C812	Mixed cellularity Hodgkin lymphoma, spleen
C812	Mixed cellularity Hodgkin lymphoma, intra-abdominal lymph nodes
C812	Mixed cellularity Hodgkin lymphoma, unspecified site
C812	Mixed cellularity Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
C813	Lymphocyte depleted Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
C813	Lymphocyte depleted Hodgkin lymphoma, spleen
C813	Lymphocyte depleted Hodgkin lymphoma, intra-abdominal lymph nodes
C813	Lymphocyte depleted Hodgkin lymphoma, lymph nodes of multiple sites
C813	Lymphocyte depleted Hodgkin lymphoma, unspecified site
C813	Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb
C813	Lymphocyte depleted Hodgkin lymphoma, intrathoracic lymph nodes
C813	Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck
C813	Lymphocyte depleted Hodgkin lymphoma, extranodal and solid organ sites
C813	Lymphocyte depleted Hodgkin lymphoma, intrapelvic lymph nodes
C814	Lymphocyte-rich Hodgkin lymphoma, intra-abdominal lymph nodes
C814	Lymphocyte-rich Hodgkin lymphoma, intrapelvic lymph nodes
C814	Lymphocyte-rich Hodgkin lymphoma, lymph nodes of multiple sites
C814	Lymphocyte-rich Hodgkin lymphoma, lymph nodes of head, face, and neck
C814	Lymphocyte-rich Hodgkin lymphoma, extranodal and solid organ sites
C814	Lymphocyte-rich Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
C814	Lymphocyte-rich Hodgkin lymphoma, intrathoracic lymph nodes
C814	Lymphocyte-rich Hodgkin lymphoma, spleen
C814	Lymphocyte-rich Hodgkin lymphoma, lymph nodes of axilla and upper limb
C814	Lymphocyte-rich Hodgkin lymphoma, unspecified site
C817	Other Hodgkin lymphoma, lymph nodes of multiple sites
C817	Other Hodgkin lymphoma, unspecified site
C817	Other Hodgkin lymphoma, lymph nodes of head, face, and neck
C817	Other Hodgkin lymphoma, spleen
C817	Other Hodgkin lymphoma, lymph nodes of axilla and upper limb
C817	Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
C817	Other Hodgkin lymphoma, intrapelvic lymph nodes
C817	Other Hodgkin lymphoma, extranodal and solid organ sites
C817	Other Hodgkin lymphoma, intra-abdominal lymph nodes
C817	Other Hodgkin lymphoma, intrathoracic lymph nodes
C819	Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb
C819	Hodgkin lymphoma, unspecified, unspecified site
C819	Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb
C819	Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck
C819	Hodgkin lymphoma, unspecified, spleen
C819	Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes
C819	Hodgkin lymphoma, unspecified, lymph nodes of multiple sites
C819	Hodgkin lymphoma, unspecified, intrapelvic lymph nodes
C819	Hodgkin lymphoma, unspecified, extranodal and solid organ sites
C819	Hodgkin lymphoma, unspecified, intrathoracic lymph nodes
C820	Follicular lymphoma grade I, intra-abdominal lymph nodes
C820	Follicular lymphoma grade I, lymph nodes of multiple sites
C820	Follicular lymphoma grade I, lymph nodes of axilla and upper limb
C820	Follicular lymphoma grade I, lymph nodes of head, face, and neck
C820	Follicular lymphoma grade I, lymph nodes of inguinal region and lower limb
C820	Follicular lymphoma grade I, unspecified site
C820	Follicular lymphoma grade I, intrathoracic lymph nodes
C820	Follicular lymphoma grade I, intrapelvic lymph nodes
C820	Follicular lymphoma grade I, spleen
C820	Follicular lymphoma grade I, extranodal and solid organ sites
C821	Follicular lymphoma grade II, lymph nodes of inguinal region and lower limb
C821	Follicular lymphoma grade II, intra-abdominal lymph nodes
C821	Follicular lymphoma grade II, intrathoracic lymph nodes
C821	Follicular lymphoma grade II, spleen
C821	Follicular lymphoma grade II, extranodal and solid organ sites
C821	Follicular lymphoma grade II, intrapelvic lymph nodes
C821	Follicular lymphoma grade II, lymph nodes of head, face, and neck
C821	Follicular lymphoma grade II, lymph nodes of axilla and upper limb
C821	Follicular lymphoma grade II, lymph nodes of multiple sites
C821	Follicular lymphoma grade II, unspecified site
C822	Follicular lymphoma grade III, unspecified, spleen
C822	Follicular lymphoma grade III, unspecified, lymph nodes of inguinal region and lower limb
C822	Follicular lymphoma grade III, unspecified, intra-abdominal lymph nodes
C822	Follicular lymphoma grade III, unspecified, lymph nodes of head, face, and neck
C822	Follicular lymphoma grade III, unspecified, lymph nodes of axilla and upper limb
C822	Follicular lymphoma grade III, unspecified, intrapelvic lymph nodes
C822	Follicular lymphoma grade III, unspecified, unspecified site
C822	Follicular lymphoma grade III, unspecified, intrathoracic lymph nodes
C822	Follicular lymphoma grade III, unspecified, extranodal and solid organ sites
C822	Follicular lymphoma grade III, unspecified, lymph nodes of multiple sites
C823	Follicular lymphoma grade IIIa, lymph nodes of head, face, and neck
C823	Follicular lymphoma grade IIIa, intrapelvic lymph nodes
C823	Follicular lymphoma grade IIIa, lymph nodes of inguinal region and lower limb
C823	Follicular lymphoma grade IIIa, unspecified site
C823	Follicular lymphoma grade IIIa, lymph nodes of multiple sites
C823	Follicular lymphoma grade IIIa, spleen
C823	Follicular lymphoma grade IIIa, lymph nodes of axilla and upper limb
C823	Follicular lymphoma grade IIIa, intrathoracic lymph nodes
C823	Follicular lymphoma grade IIIa, extranodal and solid organ sites
C823	Follicular lymphoma grade IIIa, intra-abdominal lymph nodes
C824	Follicular lymphoma grade IIIb, intra-abdominal lymph nodes
C824	Follicular lymphoma grade IIIb, spleen
C824	Follicular lymphoma grade IIIb, intrapelvic lymph nodes
C824	Follicular lymphoma grade IIIb, lymph nodes of head, face, and neck
C824	Follicular lymphoma grade IIIb, unspecified site
C824	Follicular lymphoma grade IIIb, lymph nodes of multiple sites
C824	Follicular lymphoma grade IIIb, lymph nodes of inguinal region and lower limb
C824	Follicular lymphoma grade IIIb, extranodal and solid organ sites
C824	Follicular lymphoma grade IIIb, intrathoracic lymph nodes
C824	Follicular lymphoma grade IIIb, lymph nodes of axilla and upper limb
C825	Diffuse follicle center lymphoma, intra-abdominal lymph nodes
C825	Diffuse follicle center lymphoma, extranodal and solid organ sites
C825	Diffuse follicle center lymphoma, spleen
C825	Diffuse follicle center lymphoma, lymph nodes of inguinal region and lower limb
C825	Diffuse follicle center lymphoma, lymph nodes of multiple sites
C825	Diffuse follicle center lymphoma, unspecified site
C825	Diffuse follicle center lymphoma, intrathoracic lymph nodes
C825	Diffuse follicle center lymphoma, lymph nodes of head, face, and neck
C825	Diffuse follicle center lymphoma, lymph nodes of axilla and upper limb
C825	Diffuse follicle center lymphoma, intrapelvic lymph nodes
C826	Cutaneous follicle center lymphoma, extranodal and solid organ sites
C826	Cutaneous follicle center lymphoma, lymph nodes of inguinal region and lower limb
C826	Cutaneous follicle center lymphoma, intrathoracic lymph nodes
C826	Cutaneous follicle center lymphoma, lymph nodes of multiple sites
C826	Cutaneous follicle center lymphoma, intra-abdominal lymph nodes
C826	Cutaneous follicle center lymphoma, lymph nodes of head, face, and neck
C826	Cutaneous follicle center lymphoma, spleen
C826	Cutaneous follicle center lymphoma, lymph nodes of axilla and upper limb
C826	Cutaneous follicle center lymphoma, unspecified site
C826	Cutaneous follicle center lymphoma, intrapelvic lymph nodes
C827	Other types of follicular lymphoma
C828	Other types of follicular lymphoma, lymph nodes of inguinal region and lower limb
C828	Other types of follicular lymphoma, unspecified site
C828	Other types of follicular lymphoma, intrapelvic lymph nodes
C828	Other types of follicular lymphoma, lymph nodes of multiple sites
C828	Other types of follicular lymphoma, spleen
C828	Other types of follicular lymphoma, lymph nodes of axilla and upper limb
C828	Other types of follicular lymphoma, lymph nodes of head, face, and neck
C828	Other types of follicular lymphoma, intrathoracic lymph nodes
C828	Other types of follicular lymphoma, extranodal and solid organ sites
C828	Other types of follicular lymphoma, intra-abdominal lymph nodes
C829	Follicular lymphoma, unspecified, unspecified site
C829	Follicular lymphoma, unspecified, lymph nodes of head, face, and neck
C829	Follicular lymphoma, unspecified, intrathoracic lymph nodes
C829	Follicular lymphoma, unspecified, lymph nodes of inguinal region and lower limb
C829	Follicular lymphoma, unspecified, lymph nodes of axilla and upper limb
C829	Follicular lymphoma, unspecified, extranodal and solid organ sites
C829	Follicular lymphoma, unspecified, intrapelvic lymph nodes
C829	Follicular lymphoma, unspecified, spleen
C829	Follicular lymphoma, unspecified, lymph nodes of multiple sites
C829	Follicular lymphoma, unspecified, intra-abdominal lymph nodes
C830	Small cell B-cell lymphoma, unspecified site
C830	Small cell B-cell lymphoma, lymph nodes of head, face, and neck
C830	Small cell B-cell lymphoma, intrapelvic lymph nodes
C830	Small cell B-cell lymphoma, lymph nodes of multiple sites
C830	Small cell B-cell lymphoma, spleen
C830	Small cell B-cell lymphoma, extranodal and solid organ sites
C830	Small cell B-cell lymphoma, lymph nodes of axilla and upper limb
C830	Small cell B-cell lymphoma, intrathoracic lymph nodes
C830	Small cell B-cell lymphoma, lymph nodes of inguinal region and lower limb
C830	Small cell B-cell lymphoma, intra-abdominal lymph nodes
C831	Mantle cell lymphoma, lymph nodes of axilla and upper limb
C831	Mantle cell lymphoma, unspecified site
C831	Mantle cell lymphoma, spleen
C831	Mantle cell lymphoma, intrapelvic lymph nodes
C831	Mantle cell lymphoma, lymph nodes of inguinal region and lower limb
C831	Mantle cell lymphoma, lymph nodes of multiple sites
C831	Mantle cell lymphoma, intrathoracic lymph nodes
C831	Mantle cell lymphoma, extranodal and solid organ sites
C831	Mantle cell lymphoma, lymph nodes of head, face, and neck
C831	Mantle cell lymphoma, intra-abdominal lymph nodes
C833	Diffuse large B-cell lymphoma, intrathoracic lymph nodes
C833	Diffuse large B-cell lymphoma, intrapelvic lymph nodes
C833	Diffuse large B-cell lymphoma, intra-abdominal lymph nodes
C833	Diffuse large B-cell lymphoma, spleen
C833	Diffuse large B-cell lymphoma, lymph nodes of axilla and upper limb
C833	Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck
C833	Diffuse large B-cell lymphoma, lymph nodes of multiple sites
C833	Diffuse large B-cell lymphoma, unspecified site
C833	Diffuse large B-cell lymphoma, lymph nodes of inguinal region and lower limb
C833	Diffuse large B-cell lymphoma, extranodal and solid organ sites
C835	Lymphoblastic (diffuse) lymphoma, lymph nodes of head, face, and neck
C835	Lymphoblastic (diffuse) lymphoma, lymph nodes of multiple sites
C835	Lymphoblastic (diffuse) lymphoma, unspecified site
C835	Lymphoblastic (diffuse) lymphoma, intrathoracic lymph nodes
C835	Lymphoblastic (diffuse) lymphoma, intrapelvic lymph nodes
C835	Lymphoblastic (diffuse) lymphoma, lymph nodes of axilla and upper limb
C835	Lymphoblastic (diffuse) lymphoma, intra-abdominal lymph nodes
C835	Lymphoblastic (diffuse) lymphoma, lymph nodes of inguinal region and lower limb
C835	Lymphoblastic (diffuse) lymphoma, extranodal and solid organ sites
C835	Lymphoblastic (diffuse) lymphoma, spleen
C837	Burkitt lymphoma, spleen
C837	Burkitt lymphoma, unspecified site
C837	Burkitt lymphoma, lymph nodes of axilla and upper limb
C837	Burkitt lymphoma, lymph nodes of inguinal region and lower limb
C837	Burkitt lymphoma, intra-abdominal lymph nodes
C837	Burkitt lymphoma, lymph nodes of multiple sites
C837	Burkitt lymphoma, intrapelvic lymph nodes
C837	Burkitt lymphoma, extranodal and solid organ sites
C837	Burkitt lymphoma, lymph nodes of head, face, and neck
C837	Burkitt lymphoma, intrathoracic lymph nodes
C838	Other non-follicular lymphoma, unspecified site
C838	Other non-follicular lymphoma, intra-abdominal lymph nodes
C838	Other non-follicular lymphoma, intrathoracic lymph nodes
C838	Other non-follicular lymphoma, spleen
C838	Other non-follicular lymphoma, lymph nodes of axilla and upper limb
C838	Other non-follicular lymphoma, lymph nodes of head, face, and neck
C838	Other non-follicular lymphoma, lymph nodes of multiple sites
C838	Other non-follicular lymphoma, lymph nodes of inguinal region and lower limb
C838	Other non-follicular lymphoma, extranodal and solid organ sites
C838	Other non-follicular lymphoma, intrapelvic lymph nodes
C839	Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of inguinal region and lower limb
C839	Non-follicular (diffuse) lymphoma, unspecified, extranodal and solid organ sites
C839	Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of head, face, and neck
C839	Non-follicular (diffuse) lymphoma, unspecified, spleen
C839	Non-follicular (diffuse) lymphoma, unspecified, unspecified site
C839	Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of axilla and upper limb
C839	Non-follicular (diffuse) lymphoma, unspecified, intra-abdominal lymph nodes
C839	Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of multiple sites
C839	Non-follicular (diffuse) lymphoma, unspecified, intrapelvic lymph nodes
C839	Non-follicular (diffuse) lymphoma, unspecified, intrathoracic lymph nodes
C840	Mycosis fungoides, spleen
C840	Mycosis fungoides, unspecified site
C840	Mycosis fungoides, intra-abdominal lymph nodes
C840	Mycosis fungoides, lymph nodes of head, face, and neck
C840	Mycosis fungoides, intrathoracic lymph nodes
C840	Mycosis fungoides, lymph nodes of multiple sites
C840	Mycosis fungoides, extranodal and solid organ sites
C840	Mycosis fungoides, lymph nodes of inguinal region and lower limb
C840	Mycosis fungoides, lymph nodes of axilla and upper limb
C840	Mycosis fungoides, intrapelvic lymph nodes
C841	Sezary disease, unspecified site
C841	Sezary disease, lymph nodes of axilla and upper limb
C841	Sezary disease, lymph nodes of head, face, and neck
C841	Sezary disease, spleen
C841	Sezary disease, lymph nodes of inguinal region and lower limb
C841	Sezary disease, lymph nodes of multiple sites
C841	Sezary disease, intrapelvic lymph nodes
C841	Sezary disease, intrathoracic lymph nodes
C841	Sezary disease, intra-abdominal lymph nodes
C841	Sezary disease, extranodal and solid organ sites
C844	Peripheral T-cell lymphoma, not classified, lymph nodes of multiple sites
C844	Peripheral T-cell lymphoma, not classified, spleen
C844	Peripheral T-cell lymphoma, not classified, intrapelvic lymph nodes
C844	Peripheral T-cell lymphoma, not classified, unspecified site
C844	Peripheral T-cell lymphoma, not classified, lymph nodes of axilla and upper limb
C844	Peripheral T-cell lymphoma, not classified, intra-abdominal lymph nodes
C844	Peripheral T-cell lymphoma, not classified, extranodal and solid organ sites
C844	Peripheral T-cell lymphoma, not classified, intrathoracic lymph nodes
C844	Peripheral T-cell lymphoma, not classified, lymph nodes of inguinal region and lower limb
C844	Peripheral T-cell lymphoma, not classified, lymph nodes of head, face, and neck
C845	Other mature T/NK-cell lymphomas
C846	Anaplastic large cell lymphoma, ALK-positive, lymph nodes of inguinal region and lower limb
C846	Anaplastic large cell lymphoma, ALK-positive, unspecified site
C846	Anaplastic large cell lymphoma, ALK-positive, intrapelvic lymph nodes
C846	Anaplastic large cell lymphoma, ALK-positive, extranodal and solid organ sites
C846	Anaplastic large cell lymphoma, ALK-positive, intrathoracic lymph nodes
C846	Anaplastic large cell lymphoma, ALK-positive, intra-abdominal lymph nodes
C846	Anaplastic large cell lymphoma, ALK-positive, spleen
C846	Anaplastic large cell lymphoma, ALK-positive, lymph nodes of axilla and upper limb
C846	Anaplastic large cell lymphoma, ALK-positive, lymph nodes of head, face, and neck
C846	Anaplastic large cell lymphoma, ALK-positive, lymph nodes of multiple sites
C847	Anaplastic large cell lymphoma, ALK-negative, spleen
C847	Anaplastic large cell lymphoma, ALK-negative, extranodal and solid organ sites
C847	Anaplastic large cell lymphoma, ALK-negative, unspecified site
C847	Anaplastic large cell lymphoma, ALK-negative, intrapelvic lymph nodes
C847	Anaplastic large cell lymphoma, ALK-negative, intra-abdominal lymph nodes
C847	Anaplastic large cell lymphoma, ALK-negative, lymph nodes of head, face, and neck
C847	Anaplastic large cell lymphoma, ALK-negative, intrathoracic lymph nodes
C847	Anaplastic large cell lymphoma, ALK-negative, lymph nodes of inguinal region and lower limb
C847	Anaplastic large cell lymphoma, ALK-negative, lymph nodes of multiple sites
C847	Anaplastic large cell lymphoma, ALK-negative, breast
C847	Anaplastic large cell lymphoma, ALK-negative, lymph nodes of axilla and upper limb
C848	Cutaneous T-cell lymphoma, unspecified
C849	Mature T/NK-cell lymphomas, unspecified, spleen
C849	Mature T/NK-cell lymphomas, unspecified, lymph nodes of inguinal region and lower limb
C849	Mature T/NK-cell lymphomas, unspecified, extranodal and solid organ sites
C849	Mature T/NK-cell lymphomas, unspecified, intrathoracic lymph nodes
C849	Mature T/NK-cell lymphomas, unspecified, intrapelvic lymph nodes
C849	Mature T/NK-cell lymphomas, unspecified, lymph nodes of multiple sites
C849	Mature T/NK-cell lymphomas, unspecified, intra-abdominal lymph nodes
C849	Mature T/NK-cell lymphomas, unspecified, lymph nodes of axilla and upper limb
C849	Mature T/NK-cell lymphomas, unspecified, lymph nodes of head, face, and neck
C849	Mature T/NK-cell lymphomas, unspecified, unspecified site
C850	Other and unspecified types of non-Hodgkin lymphoma
C851	Unspecified B-cell lymphoma, lymph nodes of inguinal region and lower limb
C851	Unspecified B-cell lymphoma, spleen
C851	Unspecified B-cell lymphoma, intrathoracic lymph nodes
C851	Unspecified B-cell lymphoma, extranodal and solid organ sites
C851	Unspecified B-cell lymphoma, unspecified site
C851	Unspecified B-cell lymphoma, intrapelvic lymph nodes
C851	Unspecified B-cell lymphoma, lymph nodes of multiple sites
C851	Unspecified B-cell lymphoma, intra-abdominal lymph nodes
C851	Unspecified B-cell lymphoma, lymph nodes of axilla and upper limb
C851	Unspecified B-cell lymphoma, lymph nodes of head, face, and neck
C852	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of head, face, and neck
C852	Mediastinal (thymic) large B-cell lymphoma, intrapelvic lymph nodes
C852	Mediastinal (thymic) large B-cell lymphoma, extranodal and solid organ sites
C852	Mediastinal (thymic) large B-cell lymphoma, intrathoracic lymph nodes
C852	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of axilla and upper limb
C852	Mediastinal (thymic) large B-cell lymphoma, unspecified site
C852	Mediastinal (thymic) large B-cell lymphoma, intra-abdominal lymph nodes
C852	Mediastinal (thymic) large B-cell lymphoma, spleen
C852	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of multiple sites
C852	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of inguinal region and lower limb
C857	Other specified types of non-Hodgkin lymphoma
C858	Other specified types of non-Hodgkin lymphoma, lymph nodes of axilla and upper limb
C858	Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
C858	Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites
C858	Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck
C858	Other specified types of non-Hodgkin lymphoma, unspecified site
C858	Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes
C858	Other specified types of non-Hodgkin lymphoma, intrapelvic lymph nodes
C858	Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites
C858	Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes
C858	Other specified types of non-Hodgkin lymphoma, spleen
C859	Non-Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes
C859	Non-Hodgkin lymphoma, unspecified, unspecified site
C859	Non-Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb
C859	Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes
C859	Non-Hodgkin lymphoma, unspecified, lymph nodes of multiple sites
C859	Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck
C859	Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes
C859	Non-Hodgkin lymphoma, unspecified, spleen
C859	Non-Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb
C859	Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites
C860	Extranodal NK/T-cell lymphoma, nasal type
C861	Hepatosplenic T-cell lymphoma
C862	Enteropathy-type (intestinal) T-cell lymphoma
C863	Subcutaneous panniculitis-like T-cell lymphoma
C864	Blastic NK-cell lymphoma
C865	Angioimmunoblastic T-cell lymphoma
C866	Primary cutaneous CD30-positive T-cell proliferations
C880	Waldenstrom macroglobulinemia
C882	Heavy chain disease
C883	Immunoproliferative small intestinal disease
C884	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]
C887	Other malignant immunoproliferative diseases
C888	Other malignant immunoproliferative diseases
C889	Malignant immunoproliferative disease, unspecified
C900	Multiple myeloma not having achieved remission
C900	Multiple myeloma in relapse
C900	Multiple myeloma in remission
C901	Plasma cell leukemia in relapse
C901	Plasma cell leukemia in remission
C901	Plasma cell leukemia not having achieved remission
C902	Extramedullary plasmacytoma in remission
C902	Extramedullary plasmacytoma not having achieved remission
C902	Extramedullary plasmacytoma in relapse
C903	Solitary plasmacytoma in remission
C903	Solitary plasmacytoma not having achieved remission
C903	Solitary plasmacytoma in relapse
C910	Acute lymphoblastic leukemia not having achieved remission
C910	Acute lymphoblastic leukemia, in relapse
C910	Acute lymphoblastic leukemia, in remission
C911	Chronic lymphocytic leukemia of B-cell type in relapse
C911	Chronic lymphocytic leukemia of B-cell type in remission
C911	Chronic lymphocytic leukemia of B-cell type not having achieved remission
C913	Prolymphocytic leukemia of B-cell type not having achieved remission
C913	Prolymphocytic leukemia of B-cell type, in remission
C913	Prolymphocytic leukemia of B-cell type, in relapse
C914	Hairy cell leukemia, in relapse
C914	Hairy cell leukemia not having achieved remission
C914	Hairy cell leukemia, in remission
C915	Adult T-cell lymphoma/leukemia (HTLV-1-associated), in relapse
C915	Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission
C915	Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission
C916	Prolymphocytic leukemia of T-cell type, in relapse
C916	Prolymphocytic leukemia of T-cell type, in remission
C916	Prolymphocytic leukemia of T-cell type not having achieved remission
C917	Other lymphoid leukaemia
C918	Mature B-cell leukaemia Burkitt-type
C919	Lymphoid leukemia, unspecified, in remission
C919	Lymphoid leukemia, unspecified not having achieved remission
C919	Lymphoid leukemia, unspecified, in relapse
C920	Acute myeloblastic leukemia, not having achieved remission
C920	Acute myeloblastic leukemia, in remission
C920	Acute myeloblastic leukemia, in relapse
C921	Chronic myeloid leukemia, BCR/ABL-positive, in relapse
C921	Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission
C921	Chronic myeloid leukemia, BCR/ABL-positive, in remission
C922	Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission
C922	Atypical chronic myeloid leukemia, BCR/ABL-negative, in relapse
C922	Atypical chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission
C923	Myeloid sarcoma, in relapse
C923	Myeloid sarcoma, not having achieved remission
C923	Myeloid sarcoma, in remission
C924	Acute promyelocytic leukemia, not having achieved remission
C924	Acute promyelocytic leukemia, in relapse
